fold,emocao,regra,consequente,confianca,suporte
1,admiration,"SE p_lr é ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.67, suporte=390.2]",alta,0.6713,390.15
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.59, suporte=348.2]",alta,0.5871,348.24
1,admiration,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.97, suporte=343.5]",baixa,0.9652,343.54
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.97, suporte=331.8]",baixa,0.9731,331.85
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.99, suporte=312.9]",baixa,0.9902,312.93
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.70, suporte=274.1]",baixa,0.6984,274.15
1,admiration,"SE p_lr é BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=253.5]",baixa,1.0,253.54
1,admiration,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=207.9]",baixa,0.9556,207.87
1,admiration,"SE p_lr é ALTO E p_bert é MEDIO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.83, suporte=198.1]",baixa,0.8274,198.08
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=192.7]",baixa,1.0,192.75
1,admiration,"SE p_lr é BAIXO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=181.0]",baixa,0.9833,181.03
1,admiration,"SE p_lr é MEDIO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=177.7]",baixa,0.9827,177.65
1,admiration,"SE p_lr é ALTO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.95, suporte=171.4]",baixa,0.9466,171.4
1,admiration,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.95, suporte=167.4]",baixa,0.9496,167.36
1,admiration,"SE p_lr é ALTO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.92, suporte=153.8]",baixa,0.924,153.76
1,admiration,"SE p_lr é BAIXO E p_bert é MEDIO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.94, suporte=148.6]",baixa,0.9382,148.59
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=147.9]",baixa,1.0,147.93
1,admiration,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.90, suporte=141.9]",baixa,0.9035,141.88
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=139.3]",baixa,0.9567,139.27
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é MEDIO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=134.9]",baixa,0.9772,134.94
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=122.0]",baixa,1.0,121.96
1,admiration,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.86, suporte=115.1]",baixa,0.8552,115.13
1,admiration,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=107.7]",baixa,0.9559,107.74
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.86, suporte=102.6]",baixa,0.8559,102.62
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.88, suporte=95.0]",alta,0.8817,95.02
1,admiration,"SE p_lr é MEDIO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=94.9]",baixa,1.0,94.91
1,admiration,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.87, suporte=88.3]",baixa,0.8745,88.25
1,admiration,"SE p_lr é MEDIO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=83.1]",baixa,0.9628,83.06
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.92, suporte=83.0]",baixa,0.921,83.04
1,admiration,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=0.98, suporte=82.5]",baixa,0.9848,82.5
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=78.0]",baixa,1.0,77.96
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é ALTO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.68, suporte=76.3]",alta,0.6811,76.28
1,admiration,"SE p_lr é ALTO E p_bert é MUITO_ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.80, suporte=72.4]",alta,0.8014,72.37
1,admiration,"SE p_lr é MEDIO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.96, suporte=71.1]",baixa,0.9571,71.08
1,admiration,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.91, suporte=63.6]",baixa,0.9095,63.6
1,admiration,"SE p_lr é MEDIO E p_bert é MEDIO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=62.1]",baixa,1.0,62.14
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=60.3]",baixa,1.0,60.25
1,admiration,"SE p_lr é BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=58.3]",baixa,1.0,58.28
1,admiration,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=55.9]",baixa,1.0,55.92
1,admiration,"SE p_lr é MEDIO E p_bert é MUITO_ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é ALTA  [conf=0.63, suporte=50.3]",alta,0.625,50.33
1,admiration,"SE p_lr é ALTO E p_bert é MUITO_BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=48.4]",baixa,1.0,48.44
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(admiration) é MEDIA  [conf=0.98, suporte=47.6]",media,0.9818,47.56
1,admiration,"SE p_lr é ALTO E p_bert é MEDIO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.90, suporte=44.9]",baixa,0.896,44.92
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=43.6]",baixa,1.0,43.63
1,admiration,"SE p_lr é MUITO_ALTO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=0.61, suporte=43.4]",baixa,0.6114,43.36
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=41.0]",baixa,1.0,41.0
1,admiration,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=37.8]",baixa,1.0,37.79
1,admiration,"SE p_lr é MUITO_BAIXO E p_bert é BAIXO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=37.2]",baixa,1.0,37.16
1,admiration,"SE p_lr é BAIXO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=33.3]",baixa,1.0,33.34
1,admiration,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(admiration) é BAIXA  [conf=1.00, suporte=31.9]",baixa,1.0,31.93
1,amusement,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.94, suporte=8062.3]",baixa,0.9449,8062.31
1,amusement,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é ALTA  [conf=0.94, suporte=3847.0]",alta,0.9404,3846.97
1,amusement,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=3205.6]",baixa,0.9755,3205.63
1,amusement,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=2672.3]",baixa,0.9841,2672.32
1,amusement,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.95, suporte=2518.7]",baixa,0.9537,2518.7
1,amusement,"SE p_lr é ALTO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=1703.7]",baixa,0.9815,1703.73
1,amusement,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é ALTA  [conf=0.92, suporte=1609.8]",alta,0.9186,1609.75
1,amusement,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.96, suporte=1471.4]",baixa,0.9649,1471.35
1,amusement,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=0.94, suporte=1411.9]",baixa,0.9362,1411.85
1,amusement,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.97, suporte=1276.3]",baixa,0.975,1276.34
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=1223.5]",baixa,0.9837,1223.46
1,amusement,"SE p_lr é ALTO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.96, suporte=1220.8]",baixa,0.9612,1220.84
1,amusement,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=1185.8]",baixa,0.9765,1185.77
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=1011.2]",baixa,0.9843,1011.18
1,amusement,"SE p_lr é BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.99, suporte=830.8]",baixa,0.9904,830.83
1,amusement,"SE p_lr é MEDIO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.97, suporte=629.5]",baixa,0.9746,629.5
1,amusement,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=0.99, suporte=578.7]",baixa,0.9931,578.71
1,amusement,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.97, suporte=566.4]",baixa,0.9718,566.37
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.99, suporte=550.2]",baixa,0.9855,550.18
1,amusement,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.96, suporte=523.0]",baixa,0.962,522.97
1,amusement,"SE p_lr é BAIXO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=448.5]",baixa,0.9822,448.53
1,amusement,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.97, suporte=444.5]",baixa,0.9731,444.49
1,amusement,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é ALTA  [conf=0.90, suporte=402.4]",alta,0.8964,402.37
1,amusement,"SE p_lr é MEDIO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.97, suporte=380.6]",baixa,0.9685,380.61
1,amusement,"SE p_lr é ALTO E p_bert é MEDIO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=371.0]",baixa,0.9786,370.99
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=364.4]",baixa,0.9781,364.37
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=1.00, suporte=357.3]",baixa,1.0,357.26
1,amusement,"SE p_lr é ALTO E p_bert é BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=328.2]",baixa,0.9757,328.18
1,amusement,"SE p_lr é MUITO_ALTO E p_bert é MUITO_ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é ALTA  [conf=0.93, suporte=320.3]",alta,0.9278,320.28
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=317.8]",baixa,0.9846,317.82
1,amusement,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é BAIXO E sent_neg é MUITO_ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.91, suporte=311.4]",baixa,0.9129,311.4
1,amusement,"SE p_lr é MUITO_ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é ALTA  [conf=0.62, suporte=291.5]",alta,0.6155,291.51
1,amusement,"SE p_lr é BAIXO E p_bert é ALTO E sent_pos é ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=1.00, suporte=277.5]",baixa,0.9967,277.53
1,amusement,"SE p_lr é BAIXO E p_bert é BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.99, suporte=270.2]",baixa,0.9853,270.25
1,amusement,"SE p_lr é ALTO E p_bert é MUITO_ALTO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é ALTA  [conf=0.79, suporte=250.5]",alta,0.7899,250.47
1,amusement,"SE p_lr é ALTO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=0.94, suporte=239.0]",baixa,0.9361,238.96
1,amusement,"SE p_lr é MEDIO E p_bert é ALTO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=0.93, suporte=225.5]",baixa,0.9293,225.51
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é MEDIO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=221.4]",baixa,0.982,221.44
1,amusement,"SE p_lr é ALTO E p_bert é MUITO_BAIXO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=216.7]",baixa,0.9816,216.74
1,amusement,"SE p_lr é BAIXO E p_bert é MEDIO E sent_pos é MUITO_BAIXO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=207.5]",baixa,0.9808,207.47
1,amusement,"SE p_lr é MEDIO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=0.98, suporte=204.9]",baixa,0.9805,204.86
1,amusement,"SE p_lr é ALTO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=1.00, suporte=201.7]",baixa,1.0,201.67
1,amusement,"SE p_lr é ALTO E p_bert é MUITO_BAIXO E sent_pos é MUITO_ALTO E sent_neg é MUITO_BAIXO ENTÃO pertinência(amusement) é BAIXA  [conf=0.96, suporte=201.4]",baixa,0.9642,201.43
1,amusement,"SE p_lr é MUITO_BAIXO E p_bert é MEDIO E sent_pos é MUITO_ALTO E sent_neg é ALTO ENTÃO pertinência(amusement) é BAIXA  [conf=1.00, suporte=185.8]",baixa,1.0,185.79
