fold,label,tfidf__max_features,tfidf__ngram_range,tfidf__sublinear_tf,lr__C,lr__solver
4,nervousness,10000.0,"(1, 1)",True,10.0,saga
4,optimism,,"(1, 2)",False,10.0,saga
4,pride,30000.0,"(1, 1)",True,10.0,saga
4,realization,10000.0,"(1, 2)",True,10.0,saga
4,relief,,"(1, 2)",True,10.0,saga
4,remorse,10000.0,"(1, 2)",True,10.0,saga
4,sadness,10000.0,"(1, 1)",False,10.0,saga
4,surprise,10000.0,"(1, 2)",False,10.0,saga
4,neutral,10000.0,"(1, 2)",True,10.0,saga
5,admiration,,"(1, 2)",True,10.0,saga
5,amusement,,"(1, 2)",True,10.0,saga
5,anger,10000.0,"(1, 1)",True,10.0,saga
5,annoyance,10000.0,"(1, 1)",True,10.0,saga
5,approval,10000.0,"(1, 2)",False,10.0,saga
5,caring,10000.0,"(1, 2)",False,10.0,saga
5,confusion,10000.0,"(1, 2)",True,10.0,saga
5,curiosity,10000.0,"(1, 2)",True,10.0,saga
5,desire,,"(1, 2)",True,10.0,saga
5,disappointment,10000.0,"(1, 1)",False,10.0,saga
5,disapproval,10000.0,"(1, 2)",False,10.0,saga
5,disgust,10000.0,"(1, 1)",True,10.0,saga
5,embarrassment,10000.0,"(1, 1)",True,10.0,saga
5,excitement,10000.0,"(1, 1)",True,10.0,saga
5,fear,10000.0,"(1, 1)",False,10.0,saga
5,gratitude,,"(1, 2)",True,10.0,saga
5,grief,10000.0,"(1, 2)",False,10.0,saga
5,joy,,"(1, 2)",True,10.0,saga
5,love,,"(1, 2)",True,10.0,saga
5,nervousness,30000.0,"(1, 1)",True,10.0,saga
5,optimism,,"(1, 2)",True,10.0,saga
5,pride,10000.0,"(1, 2)",True,10.0,saga
5,realization,10000.0,"(1, 2)",True,10.0,saga
5,relief,10000.0,"(1, 2)",True,10.0,saga
5,remorse,10000.0,"(1, 2)",False,10.0,saga
5,sadness,10000.0,"(1, 1)",True,10.0,saga
5,surprise,10000.0,"(1, 1)",False,10.0,saga
5,neutral,10000.0,"(1, 1)",True,10.0,saga
